impact_method,characterization,reference,unit
ECOINDICATOR 99 (E.E),Damage to Ecosystem Quality caused by land conversion (E.E),Damage to Ecosystem Quality caused by land conversion (E.E),PDF*m2
ECOINDICATOR 99 (E.E),Damage to Resources caused by extraction of minerals (E.E),Damage to Resources caused by extraction of minerals (E.E),MJ surplus energy
ECOINDICATOR 99 (E.E),Damage to Resources caused by extraction of fossil fuels (E.E),Damage to Resources caused by extraction of fossil fuels (E.E),MJ surplus energy
ECOINDICATOR 99 (I.I),Carcinogenic effects on humans (I.I),Carcinogenic effects on humans (I.I),DALY
ECOINDICATOR 99 (I.I),Respiratory effects on humans caused by organic substances (I.I),Respiratory effects on humans caused by organic substances (I.I),DALY
ECOINDICATOR 99 (I.I),Respiratory effects on humans caused by inorganic substances (I.I),Respiratory effects on humans caused by inorganic substances (I.I),DALY
ECOINDICATOR 99 (I.I),Damages to human health caused by climate change (I.I),Damages to human health caused by climate change (I.I),DALY
ECOINDICATOR 99 (I.I),Human health effects caused by ionising radiation (I.I),Human health effects caused by ionising radiation (I.I),DALY
ECOINDICATOR 99 (I.I),Human health effects caused by ozone layer depletion (I.I),Human health effects caused by ozone layer depletion (I.I),DALY
ECOINDICATOR 99 (I.I),Damage to Ecosystem Quality caused by ecotoxic emissions (I.I),Damage to Ecosystem Quality caused by ecotoxic emissions (I.I),PDF*m2*yr
ECOINDICATOR 99 (I.I),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I),Damage to Ecosystem Quality caused by the combined effect of acidification and eutrophication (I.I),PDF*m2*yr
ECOINDICATOR 99 (I.I),Damage to Ecosystem Quality caused by land occupation (I.I),Damage to Ecosystem Quality caused by land occupation (I.I),PDF*m2*yr
ECOINDICATOR 99 (I.I),Damage to Ecosystem Quality caused by land conversion (I.I),Damage to Ecosystem Quality caused by land conversion (I.I),PDF*m2
ECOINDICATOR 99 (I.I),Damage to Resources caused by extraction of minerals (I.I),Damage to Resources caused by extraction of minerals (I.I),MJ surplus energy
