code,name,synonym,unit
Hg_nc_62.0,"Hg - non combustion - Refined copper; unwrought, not alloyed",E_Hg_nc_62.0,kg
Hg_nc_63.0,"Hg - non combustion - Refined lead, unwrought",E_Hg_nc_63.0,kg
Hg_nc_69.1,Hg - non combustion - Steel production: basic oxygen furnace,E_Hg_nc_69.1,kg
Hg_nc_69.2,Hg - non combustion - Steel production: electric arc furnace,E_Hg_nc_69.2,kg
Hg_nc_74.0,Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining,E_Hg_nc_74.0,kg
Hg_nc_78.0,"Hg - non combustion - Zinc, unwrought, not alloyed",E_Hg_nc_78.0,kg
Indeno_nc_56.0,Indeno - non combustion - Primary aluminium production,E_Indeno_nc_56.0,kg
Indeno_nc_58.0,Indeno - non combustion - Production of coke oven coke,E_Indeno_nc_58.0,kg
Indeno_nc_59.0,Indeno - non combustion - Production of gascoke,E_Indeno_nc_59.0,kg
NH3_nc_43.0,NH3 - non combustion - N- fertilizer production,E_NH3_nc_43.0,kg
NMVOC_nc_3.0,NMVOC - non combustion - Beef and veal,E_NMVOC_nc_3.0,kg
NMVOC_nc_11.0,NMVOC - non combustion - Coil coating (coating of aluminum and steel),E_NMVOC_nc_11.0,kg
NMVOC_nc_13.0,NMVOC - non combustion - Decorative paint applicatoin,E_NMVOC_nc_13.0,kg
NMVOC_nc_14.0,NMVOC - non combustion - Degreasing,E_NMVOC_nc_14.0,kg
NMVOC_nc_15.1,NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources),E_NMVOC_nc_15.1,kg
NMVOC_nc_15.2,NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources),E_NMVOC_nc_15.2,kg
NMVOC_nc_16.0,NMVOC - non combustion - Dry cleaning,E_NMVOC_nc_16.0,kg
NMVOC_nc_17.0,"NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels",E_NMVOC_nc_17.0,kg
NMVOC_nc_18.0,"NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels",E_NMVOC_nc_18.0,kg
NMVOC_nc_19.0,NMVOC - non combustion - Extraction/production of (natural) gas,E_NMVOC_nc_19.0,kg
NMVOC_nc_20.0,NMVOC - non combustion - Extraction/production of crude oil,E_NMVOC_nc_20.0,kg
NMVOC_nc_21.0,"NMVOC - non combustion - Fat, edible and non-edible oil extraction",E_NMVOC_nc_21.0,kg
NMVOC_nc_23.1,"NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal",E_NMVOC_nc_23.1,kg
NMVOC_nc_23.2,"NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen",E_NMVOC_nc_23.2,kg
NMVOC_nc_23.3,"NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar",E_NMVOC_nc_23.3,kg
NMVOC_nc_24.0,NMVOC - non combustion - Flexography and rotogravure in packaging,E_NMVOC_nc_24.0,kg
NMVOC_nc_25.1,NMVOC - non combustion - Gasoline distribution - service stations,E_NMVOC_nc_25.1,kg
NMVOC_nc_25.2,NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources),E_NMVOC_nc_25.2,kg
NMVOC_nc_25.3,NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources),E_NMVOC_nc_25.3,kg
NMVOC_nc_28.1,NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives),E_NMVOC_nc_28.1,kg
NMVOC_nc_28.2,NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives),E_NMVOC_nc_28.2,kg
NMVOC_nc_29.2,"NMVOC - non combustion - Industrial paint application, general industry (continuous processes)",E_NMVOC_nc_29.2,kg
NMVOC_nc_29.3,"NMVOC - non combustion - Industrial paint application, general industry (plastic parts)",E_NMVOC_nc_29.3,kg
NMVOC_nc_29.1,"NMVOC - non combustion - Industrial paint application, general industry",E_NMVOC_nc_29.1,kg
NMVOC_nc_30.0,"NMVOC - non combustion - Inorganic chemical industry, fertilizers and other",E_NMVOC_nc_30.0,kg
NMVOC_nc_33.0,NMVOC - non combustion - Leather coating,E_NMVOC_nc_33.0,kg
NMVOC_nc_35.0,NMVOC - non combustion - Manufacture of automobiles,E_NMVOC_nc_35.0,kg
NMVOC_nc_42.0,NMVOC - non combustion - Mutton and lamb,E_NMVOC_nc_42.0,kg
NMVOC_nc_46.0,NMVOC - non combustion - Oil refinery,E_NMVOC_nc_46.0,kg
NMVOC_nc_47.1,NMVOC - non combustion - Organic chemical industry - downstream units,E_NMVOC_nc_47.1,kg
NMVOC_nc_47.2,"NMVOC - non combustion - Organic chemical industry, storage",E_NMVOC_nc_47.2,kg
NMVOC_nc_48.0,NMVOC - non combustion - Other industrial use of solvents,E_NMVOC_nc_48.0,kg
NMVOC_nc_49.0,NMVOC - non combustion - Pharmaceutical industry,E_NMVOC_nc_49.0,kg
NMVOC_nc_52.0,NMVOC - non combustion - Polystyrene processing,E_NMVOC_nc_52.0,kg
NMVOC_nc_53.0,NMVOC - non combustion - Polyvinylchloride produceduction by suspension process,E_NMVOC_nc_53.0,kg
NMVOC_nc_54.0,NMVOC - non combustion - Pork,E_NMVOC_nc_54.0,kg
NMVOC_nc_55.0,"NMVOC - non combustion - Poultry, dressed",E_NMVOC_nc_55.0,kg
NMVOC_nc_57.0,"NMVOC - non combustion - Printing, offset",E_NMVOC_nc_57.0,kg
NMVOC_nc_60.0,NMVOC - non combustion - Products incorporating solvents,E_NMVOC_nc_60.0,kg
NMVOC_nc_61.0,NMVOC - non combustion - Raw sugar,E_NMVOC_nc_61.0,kg
NMVOC_nc_64.0,NMVOC - non combustion - Rotogravure in publication,E_NMVOC_nc_64.0,kg
NMVOC_nc_65.0,NMVOC - non combustion - Screen printing,E_NMVOC_nc_65.0,kg
NMVOC_nc_68.0,NMVOC - non combustion - Steam cracking (ethylene and propylene production),E_NMVOC_nc_68.0,kg
NMVOC_nc_71.0,NMVOC - non combustion - Synthetic rubber,E_NMVOC_nc_71.0,kg
NMVOC_nc_73.0,NMVOC - non combustion - Tyre production,E_NMVOC_nc_73.0,kg
NMVOC_nc_75.0,NMVOC - non combustion - Vehicle refinishing,E_NMVOC_nc_75.0,kg
NMVOC_nc_76.0,NMVOC - non combustion - Wire coating,E_NMVOC_nc_76.0,kg
NOx_nc_1.1,NOx - non combustion - Agglomeration plant - pellets,E_NOx_nc_1.1,kg
NOx_nc_1.2,NOx - non combustion - Agglomeration plant - sinter,E_NOx_nc_1.2,kg
NOx_nc_4.0,NOx - non combustion - Bricks production,E_NOx_nc_4.0,kg
NOx_nc_8.0,NOx - non combustion - Cement production,E_NOx_nc_8.0,kg
NOx_nc_9.1,"NOx - non combustion - Chemical wood pulp, dissolving grades",E_NOx_nc_9.1,kg
NOx_nc_9.2,"NOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades",E_NOx_nc_9.2,kg
NOx_nc_9.3,"NOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades",E_NOx_nc_9.3,kg
NOx_nc_26.0,NOx - non combustion - Glass production,E_NOx_nc_26.0,kg
NOx_nc_34.0,NOx - non combustion - Lime production,E_NOx_nc_34.0,kg
NOx_nc_45.0,"NOx - non combustion - Nickel, unwrought",E_NOx_nc_45.0,kg
NOx_nc_46.0,NOx - non combustion - Oil refinery,E_NOx_nc_46.0,kg
NOx_nc_50.0,"NOx - non combustion - Pig iron production, blast furnace",E_NOx_nc_50.0,kg
NOx_nc_58.0,NOx - non combustion - Production of coke oven coke,E_NOx_nc_58.0,kg
NOx_nc_59.0,NOx - non combustion - Production of gascoke,E_NOx_nc_59.0,kg
NOx_nc_62.0,"NOx - non combustion - Refined copper; unwrought, not alloyed",E_NOx_nc_62.0,kg
NOx_nc_63.0,"NOx - non combustion - Refined lead, unwrought",E_NOx_nc_63.0,kg
NOx_nc_66.0,"NOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood",E_NOx_nc_66.0,kg
NOx_nc_69.1,NOx - non combustion - Steel production: basic oxygen furnace,E_NOx_nc_69.1,kg
NOx_nc_69.2,NOx - non combustion - Steel production: electric arc furnace,E_NOx_nc_69.2,kg
NOx_nc_70.0,NOx - non combustion - Sulphuric acid production,E_NOx_nc_70.0,kg
NOx_nc_74.0,NOx - non combustion - Unrefined copper; copper anodes for electrolytic refining,E_NOx_nc_74.0,kg
NOx_nc_78.0,"NOx - non combustion - Zinc, unwrought, not alloyed",E_NOx_nc_78.0,kg
Ni_nc_1.1,Ni - non combustion - Agglomeration plant - pellets,E_Ni_nc_1.1,kg
Ni_nc_1.2,Ni - non combustion - Agglomeration plant - sinter,E_Ni_nc_1.2,kg
