name,synonym,unit
Domestic Extraction Used - Metal Ores - Nickel ores,DEU_2.4,kt
Domestic Extraction Used - Metal Ores - Bauxite and aluminium ores,DEU_2.5,kt
Domestic Extraction Used - Metal Ores - Gold ores,DEU_2.6.01,kt
Domestic Extraction Used - Metal Ores - PGM ores,DEU_2.6.02,kt
Domestic Extraction Used - Metal Ores - Silver ores,DEU_2.6.03,kt
Domestic Extraction Used - Metal Ores - Lead ores,DEU_2.7.01,kt
Domestic Extraction Used - Metal Ores - Tin ores,DEU_2.7.02,kt
Domestic Extraction Used - Metal Ores - Zinc ores,DEU_2.7.03,kt
Domestic Extraction Used - Metal Ores - Other non-ferrous metal ores,DEU_2.8,kt
Domestic Extraction Used - Non-Metallic Minerals - Other minerals,DEU_3.8,kt
"Domestic Extraction Used - Non-Metallic Minerals - Limestone, gypsum, chalk, dolomite",DEU_3.3,kt
Domestic Extraction Used - Non-Metallic Minerals - Slate,DEU_3.5,kt
Domestic Extraction Used - Non-Metallic Minerals - Building stones,DEU_3.6,kt
Domestic Extraction Used - Non-Metallic Minerals - Clays and kaolin,DEU_3.2,kt
Domestic Extraction Used - Non-Metallic Minerals - Gravel and sand,DEU_3.7,kt
Domestic Extraction Used - Non-Metallic Minerals - Salt,DEU_3.4,kt
Domestic Extraction Used - Non-Metallic Minerals - Chemical and fertilizer minerals,DEU_3.1,kt
Domestic Extraction Used - Fossil Fuels - Anthracite,DEU_4.1,kt
Domestic Extraction Used - Fossil Fuels - Coking coal,DEU_4.2,kt
Domestic Extraction Used - Fossil Fuels - Other bituminous coal,DEU_4.3,kt
Domestic Extraction Used - Fossil Fuels - Sub-bituminous coal,DEU_4.4,kt
Domestic Extraction Used - Fossil Fuels - Lignite/brown coal,DEU_4.5,kt
Domestic Extraction Used - Fossil Fuels - Peat,DEU_4.6,kt
Domestic Extraction Used - Fossil Fuels - Crude oil,DEU_4.7,kt
Domestic Extraction Used - Fossil Fuels - Natural gas,DEU_4.8,kt
Domestic Extraction Used - Fossil Fuels - Natural gas liquids,DEU_4.9,kt
Domestic Extraction Used - Fossil Fuels - Oil shale and oil sands,DEU_4.10,kt
Domestic Extraction Used - Fossil Fuels - Other hydrocarbons,DEU_4.11,kt
Unused Domestic Extraction - Primary Crops - Rice,UDE_1.01.001,kt
